attempt_id,transaction_id,attempt_number,attempt_timestamp,time_since_last_attempt,time_since_first_failure,is_near_payday,outcome,channel,success
att_7376502a41,txn_6f8b1b28db,1,2024-03-15 08:24:52.647239,5.4171,5.4171,False,fail,auto_retry,0
att_74a71dccf7,txn_6f8b1b28db,2,2024-03-16 03:20:47.476306,18.9319,24.349,False,fail,email_prompt,0
att_f9901456ee,txn_6f8b1b28db,3,2024-03-18 02:01:06.146856,46.6719,71.0209,False,fail,sms_prompt,0
att_3987d66d81,txn_6f8b1b28db,4,2024-03-22 03:03:08.472962,97.034,168.0549,False,fail,sms_prompt,0
att_4d249f4c71,txn_027e3eba49,1,2024-03-02 01:36:30.552845,6.6215,6.6215,False,fail,auto_retry,0
att_510c797efb,txn_027e3eba49,2,2024-03-02 18:43:49.341294,17.1219,23.7434,False,success,email_prompt,1
att_522ae8eb77,txn_d93ef1576a,1,2024-03-02 16:36:35.193538,6.7978,6.7978,False,success,auto_retry,1
att_f7fe4dfecc,txn_edce775195,1,2024-03-08 22:04:35.704978,5.6216,5.6216,False,success,auto_retry,1
att_30d9f4f968,txn_c4c19fd38a,1,2024-03-08 00:07:12.184492,6.4295,6.4295,False,fail,auto_retry,0
att_fc4dc21302,txn_c4c19fd38a,2,2024-03-08 17:07:05.158086,16.998,23.4275,False,fail,email_prompt,0
att_0ed8b9fc87,txn_c4c19fd38a,3,2024-03-10 17:50:08.420996,48.7176,72.1451,False,fail,sms_prompt,0
att_cf1bf2dbe8,txn_c4c19fd38a,4,2024-03-14 16:52:15.556790,95.0353,167.1804,False,fail,sms_prompt,0
att_91ad7166e7,txn_b13ddb4f31,1,2024-03-13 09:12:00.772539,6.3085,6.3085,False,success,auto_retry,1
att_a0297f8407,txn_ae996d9f75,1,2024-03-05 06:29:13.707344,5.9444,5.9444,False,success,auto_retry,1
att_86d11e93d2,txn_7af5c4008a,1,2024-03-08 13:25:29.651869,6.3118,6.3118,False,success,auto_retry,1
att_20845a9c1e,txn_0dcd17f70f,1,2024-03-11 18:05:51.569634,5.4596,5.4596,False,fail,auto_retry,0
att_e6bbd25798,txn_0dcd17f70f,2,2024-03-12 13:10:30.852061,19.0776,24.5372,False,fail,email_prompt,0
att_502be6c0fd,txn_0dcd17f70f,3,2024-03-14 12:32:52.511187,47.3727,71.9099,False,fail,sms_prompt,0
att_7aa78db87a,txn_0dcd17f70f,4,2024-03-18 13:06:37.463468,96.5625,168.4724,False,fail,sms_prompt,0
att_e206d2e5c3,txn_5748fa30d4,1,2024-03-11 11:45:18.235724,6.9456,6.9456,False,fail,auto_retry,0
att_81cd339389,txn_5748fa30d4,2,2024-03-12 04:39:05.317872,16.8964,23.842,False,success,email_prompt,1
att_15cea91cde,txn_d06d4406c5,1,2024-03-14 13:41:11.888115,5.2233,5.2233,False,success,auto_retry,1
att_fe8648071b,txn_1e81037a8f,1,2024-03-04 17:18:31.777157,6.3697,6.3697,False,fail,auto_retry,0
att_ce29ebe599,txn_1e81037a8f,2,2024-03-05 11:26:10.995955,18.1276,24.4972,False,fail,email_prompt,0
att_48c06ed833,txn_1e81037a8f,3,2024-03-07 10:08:26.895684,46.7044,71.2016,False,fail,sms_prompt,0
att_bbd9d412bf,txn_1e81037a8f,4,2024-03-11 10:25:52.352020,96.2904,167.492,False,fail,sms_prompt,0
att_756c6c09db,txn_6602f05d39,1,2024-03-14 20:55:09.474757,6.0274,6.0274,False,fail,auto_retry,0
att_7aadf3445e,txn_6602f05d39,2,2024-03-15 14:15:04.432205,17.3319,23.3593,False,success,email_prompt,1
att_5d36a216c7,txn_7bdda81e9a,1,2024-03-07 14:40:14.000000,0.0,0.0,False,not_attempted,auto_retry,0
att_b491f36d73,txn_c40991a5f6,1,2024-03-04 09:16:22.741819,6.9988,6.9988,False,fail,auto_retry,0
att_d31848a161,txn_c40991a5f6,2,2024-03-05 01:57:13.441167,16.6807,23.6796,False,fail,email_prompt,0
att_5c0b502331,txn_c40991a5f6,3,2024-03-07 02:43:04.564800,48.7642,72.4438,False,fail,sms_prompt,0
att_6f6f73d623,txn_c40991a5f6,4,2024-03-11 01:25:47.411031,94.7119,167.1557,False,success,sms_prompt,1
att_93e5bdad99,txn_153d367283,1,2024-03-15 00:23:48.861276,5.9908,5.9908,False,fail,auto_retry,0
att_d1b037ed1c,txn_153d367283,2,2024-03-15 18:52:39.618619,18.4808,24.4716,False,success,email_prompt,1
att_05f3bd59c3,txn_e9b2ce77a6,1,2024-03-13 14:25:12.316024,5.4737,5.4737,False,fail,auto_retry,0
att_4109901ca4,txn_e9b2ce77a6,2,2024-03-14 08:12:07.036850,17.7819,23.2556,False,success,email_prompt,1
att_55d12bbbd3,txn_81c6391770,1,2024-03-05 02:33:49.058478,6.7245,6.7245,False,fail,auto_retry,0
att_1eebbcc89a,txn_81c6391770,2,2024-03-05 20:06:26.044499,17.5436,24.2681,False,fail,email_prompt,0
att_e03d5290f0,txn_81c6391770,3,2024-03-07 19:21:34.346234,47.2523,71.5204,False,fail,sms_prompt,0
att_969ca25dbb,txn_81c6391770,4,2024-03-11 19:14:36.005654,95.8838,167.4042,False,fail,sms_prompt,0
att_2ee9a9c1f1,txn_d10be896e0,1,2024-03-03 23:08:08.000000,0.0,0.0,False,not_attempted,auto_retry,0
att_f4d4418c40,txn_ddedb39103,1,2024-03-14 15:28:53.152488,6.7637,6.7637,False,fail,auto_retry,0
att_ec406cea69,txn_ddedb39103,2,2024-03-15 09:05:41.101448,17.6133,24.377,False,fail,email_prompt,0
att_536fc20e04,txn_ddedb39103,3,2024-03-17 09:23:49.085614,48.3022,72.6792,False,fail,sms_prompt,0
att_5c0d20f96e,txn_ddedb39103,4,2024-03-21 07:43:11.511883,94.3229,167.0021,False,fail,sms_prompt,0
att_facc36af8b,txn_9b820785f9,1,2024-03-12 00:04:28.413998,5.2037,5.2037,False,fail,auto_retry,0
att_1e9641bcf9,txn_9b820785f9,2,2024-03-12 18:02:24.420286,17.9656,23.1693,False,fail,email_prompt,0
att_09424a6741,txn_9b820785f9,3,2024-03-14 18:12:31.043103,48.1685,71.3378,False,fail,sms_prompt,0
att_8b81a6f615,txn_9b820785f9,4,2024-03-18 19:26:57.948889,97.2408,168.5786,False,fail,sms_prompt,0
att_c5d1cbe485,txn_8ef7e74e2c,1,2024-03-07 05:22:36.207173,5.1087,5.1087,False,fail,auto_retry,0
att_63d6204994,txn_8ef7e74e2c,2,2024-03-07 23:26:55.684206,18.0721,23.1807,False,fail,email_prompt,0
att_3893da1098,txn_8ef7e74e2c,3,2024-03-10 00:38:36.825981,49.1948,72.3755,False,fail,sms_prompt,0
att_470b0da05f,txn_8ef7e74e2c,4,2024-03-14 00:11:41.455678,95.5513,167.9268,False,fail,sms_prompt,0
att_94cbf4467d,txn_30e543b2f5,1,2024-03-08 03:56:46.929475,5.8136,5.8136,False,fail,auto_retry,0
att_120b2dc733,txn_30e543b2f5,2,2024-03-08 22:22:20.484266,18.426,24.2396,False,fail,email_prompt,0
att_2e44e56ae5,txn_30e543b2f5,3,2024-03-10 22:53:00.043560,48.511,72.7506,False,fail,sms_prompt,0
att_bccd274e93,txn_30e543b2f5,4,2024-03-14 21:29:51.366825,94.6143,167.3648,False,fail,sms_prompt,0
att_259c5fe99d,txn_1525330e04,1,2024-03-08 13:19:05.037282,6.942,6.942,False,fail,auto_retry,0
att_3e628bf464,txn_1525330e04,2,2024-03-09 05:37:17.575316,16.3035,23.2454,False,success,email_prompt,1
att_683ab9ad2d,txn_7ac528c85b,1,2024-03-12 01:00:05.043435,5.0053,5.0053,False,fail,auto_retry,0
att_dae00214e2,txn_7ac528c85b,2,2024-03-12 19:07:03.826877,18.1163,23.1216,False,fail,email_prompt,0
att_f7c3474435,txn_7ac528c85b,3,2024-03-14 20:46:46.599976,49.6619,72.7835,False,fail,sms_prompt,0
att_aa80aefac4,txn_7ac528c85b,4,2024-03-18 20:51:37.703705,96.0809,168.8644,False,fail,sms_prompt,0
att_ab5433e198,txn_1098ec8f91,1,2024-03-08 05:37:32.875914,6.7241,6.7241,False,fail,auto_retry,0
att_7e97b65ea6,txn_1098ec8f91,2,2024-03-08 23:01:31.745462,17.3997,24.1238,False,fail,email_prompt,0
att_024886757e,txn_1098ec8f91,3,2024-03-10 23:23:52.893131,48.3725,72.4964,False,fail,sms_prompt,0
att_5d7529abb8,txn_1098ec8f91,4,2024-03-14 23:08:08.685829,95.7377,168.2341,False,fail,sms_prompt,0
att_98a8d45e58,txn_8824e367a9,1,2024-03-15 01:31:39.949850,6.3558,6.3558,False,fail,auto_retry,0
att_af689b72ed,txn_8824e367a9,2,2024-03-15 19:08:32.386960,17.6146,23.9704,False,fail,email_prompt,0
att_8fb5027ac3,txn_8824e367a9,3,2024-03-17 19:57:13.677005,48.8115,72.7819,False,fail,sms_prompt,0
att_090295c944,txn_8824e367a9,4,2024-03-21 19:14:14.207158,95.2835,168.0653,False,fail,sms_prompt,0
att_e386d19066,txn_84393cbda2,1,2024-03-03 12:12:10.643085,5.4288,5.4288,False,fail,auto_retry,0
att_f1b24d8419,txn_84393cbda2,2,2024-03-04 06:01:26.017243,17.8209,23.2497,False,success,email_prompt,1
att_696a97ba75,txn_a13e27c29d,1,2024-03-08 02:55:39.136466,5.1331,5.1331,False,fail,auto_retry,0
att_e19bdb99d7,txn_a13e27c29d,2,2024-03-08 21:30:23.303933,18.5789,23.712,False,success,email_prompt,1
att_32614af984,txn_687fd5b94d,1,2024-03-10 12:42:34.320860,5.9315,5.9315,False,fail,auto_retry,0
att_063e5fb673,txn_687fd5b94d,2,2024-03-11 05:49:31.868443,17.116,23.0475,False,fail,email_prompt,0
att_4f54af741b,txn_687fd5b94d,3,2024-03-13 07:05:13.688558,49.2616,72.3091,False,fail,sms_prompt,0
att_04ea03e0db,txn_687fd5b94d,4,2024-03-17 07:09:14.433939,96.0669,168.376,False,fail,sms_prompt,0
att_66c598bac3,txn_60e368645f,1,2024-03-10 14:13:58.401738,5.5851,5.5851,False,success,auto_retry,1
att_f0e0c16a69,txn_6d913c524d,1,2024-03-10 12:58:17.214634,5.2706,5.2706,False,fail,auto_retry,0
att_205e3c7380,txn_6d913c524d,2,2024-03-11 07:30:25.702857,18.5357,23.8063,False,fail,email_prompt,0
att_4a48438777,txn_6d913c524d,3,2024-03-13 07:13:28.886235,47.7176,71.5239,False,success,sms_prompt,1
att_8850b3ff34,txn_dd9354df96,1,2024-03-09 15:32:53.374076,5.7451,5.7451,False,fail,auto_retry,0
att_b61afc4254,txn_dd9354df96,2,2024-03-10 10:17:00.364608,18.7353,24.4804,False,fail,email_prompt,0
att_0b8929ae15,txn_dd9354df96,3,2024-03-12 10:28:49.489728,48.197,72.6774,False,fail,sms_prompt,0
att_a479a5dd19,txn_dd9354df96,4,2024-03-16 10:13:52.513120,95.7508,168.4282,False,fail,sms_prompt,0
att_e7ad50c01b,txn_fd6db700c9,1,2024-03-13 00:37:47.922576,5.4014,5.4014,False,fail,auto_retry,0
att_0e7ddc9859,txn_fd6db700c9,2,2024-03-13 20:09:48.498492,19.5335,24.9349,False,fail,email_prompt,0
att_a8920a81f4,txn_fd6db700c9,3,2024-03-15 19:41:58.938751,47.5362,72.4711,False,fail,sms_prompt,0
att_8370b02168,txn_fd6db700c9,4,2024-03-19 19:37:54.595868,95.9321,168.4032,False,fail,sms_prompt,0
att_38c3b38036,txn_a0461bbc92,1,2024-03-07 07:30:52.544469,5.6382,5.6382,False,fail,auto_retry,0
att_d4488d89f3,txn_a0461bbc92,2,2024-03-08 02:28:18.123209,18.9571,24.5953,False,fail,email_prompt,0
att_dd9222a1c6,txn_a0461bbc92,3,2024-03-10 00:54:49.673878,46.4421,71.0374,False,success,sms_prompt,1
att_1c38f32879,txn_9f4febb2b6,1,2024-03-13 04:28:29.926104,6.2028,6.2028,False,fail,auto_retry,0
att_5b8af53017,txn_9f4febb2b6,2,2024-03-13 22:28:18.598838,17.9969,24.1996,False,fail,email_prompt,0
att_79da0ea98b,txn_9f4febb2b6,3,2024-03-15 22:07:57.999604,47.6609,71.8606,False,fail,sms_prompt,0
att_b1d5aa7981,txn_9f4febb2b6,4,2024-03-19 22:10:46.203592,96.0467,167.9073,False,fail,sms_prompt,0
att_c44c07e5f8,txn_dbb7971e9f,1,2024-03-11 07:48:39.958796,5.2008,5.2008,False,fail,auto_retry,0
att_442db94eeb,txn_dbb7971e9f,2,2024-03-12 01:48:37.308651,17.9993,23.2001,False,fail,email_prompt,0
att_df7c0c1335,txn_dbb7971e9f,3,2024-03-14 02:43:54.134797,48.9213,72.1214,False,success,sms_prompt,1
att_a4dfdbbe3d,txn_2f4e3be138,1,2024-03-03 12:25:51.636068,5.031,5.031,False,fail,auto_retry,0
att_4bd7711ffb,txn_2f4e3be138,2,2024-03-04 08:17:05.089362,19.8537,24.8847,False,fail,email_prompt,0
att_f5dab7e811,txn_2f4e3be138,3,2024-03-06 07:24:12.424570,47.1187,72.0035,False,fail,sms_prompt,0
att_95f9374355,txn_2f4e3be138,4,2024-03-10 08:15:00.160069,96.8466,168.85,False,success,sms_prompt,1
att_29508d145f,txn_c41bda7aee,1,2024-03-07 20:53:32.236886,6.3309,6.3309,False,fail,auto_retry,0
att_cbe53c2f30,txn_c41bda7aee,2,2024-03-08 15:26:28.191124,18.5489,24.8798,False,success,email_prompt,1
att_534e97a8a8,txn_2a10f13716,1,2024-03-03 03:10:43.210653,6.5948,6.5948,False,fail,auto_retry,0
att_7f7982f4c0,txn_2a10f13716,2,2024-03-03 21:31:27.440025,18.3456,24.9404,False,fail,email_prompt,0
att_3d551a4ff6,txn_2a10f13716,3,2024-03-05 19:48:49.770763,46.2895,71.2299,False,fail,sms_prompt,0
att_bf485afad2,txn_2a10f13716,4,2024-03-09 21:01:00.430334,97.203,168.4329,False,success,sms_prompt,1
att_dbc82f5ca1,txn_a8001559bf,1,2024-03-06 13:41:23.029557,6.7014,6.7014,False,success,auto_retry,1
att_3b1c6aeba8,txn_64b95a8b39,1,2024-03-04 18:13:17.017829,5.4669,5.4669,False,fail,auto_retry,0
att_47ff634c91,txn_64b95a8b39,2,2024-03-05 12:26:07.372781,18.214,23.6809,False,fail,email_prompt,0
att_b0c377aee8,txn_64b95a8b39,3,2024-03-07 13:08:57.966953,48.7141,72.395,False,fail,sms_prompt,0
att_29b8b8dd93,txn_64b95a8b39,4,2024-03-11 11:51:13.422094,94.7043,167.0993,False,fail,sms_prompt,0
att_a7827dc226,txn_ea2243801c,1,2024-03-14 11:09:00.751347,5.2372,5.2372,False,fail,auto_retry,0
att_b63f4e875d,txn_ea2243801c,2,2024-03-15 04:56:42.550098,17.7949,23.0321,False,fail,email_prompt,0
att_0b7395aeee,txn_ea2243801c,3,2024-03-17 06:20:29.637066,49.3964,72.4285,False,fail,sms_prompt,0
att_b516d029a1,txn_ea2243801c,4,2024-03-21 05:18:43.059168,94.9704,167.3989,False,fail,sms_prompt,0
att_5ba78b7fe1,txn_de70ee86a4,1,2024-03-08 10:31:49.000000,0.0,0.0,False,not_attempted,auto_retry,0
att_27e21df6e3,txn_da6e0a4837,1,2024-03-10 20:58:52.008943,6.6133,6.6133,False,fail,auto_retry,0
att_a5a9051716,txn_da6e0a4837,2,2024-03-11 14:48:03.566768,17.8199,24.4332,False,fail,email_prompt,0
att_09f9bd7f6f,txn_da6e0a4837,3,2024-03-13 14:05:33.785698,47.2917,71.7249,False,fail,sms_prompt,0
att_36ae6eb787,txn_da6e0a4837,4,2024-03-17 14:57:27.548820,96.8649,168.5899,False,fail,sms_prompt,0
att_761a03f323,txn_ce98d461d2,1,2024-03-15 11:52:05.324837,5.6162,5.6162,False,success,auto_retry,1
att_0e393a27b2,txn_c541dfe4c6,1,2024-03-14 12:05:10.311160,6.3084,6.3084,False,fail,auto_retry,0
att_6fe447ae38,txn_c541dfe4c6,2,2024-03-15 05:06:32.937853,17.023,23.3314,False,fail,email_prompt,0
att_be46563263,txn_c541dfe4c6,3,2024-03-17 06:14:36.833454,49.1344,72.4658,False,fail,sms_prompt,0
att_07b9ec5d68,txn_c541dfe4c6,4,2024-03-21 04:54:01.088608,94.6567,167.1225,False,fail,sms_prompt,0
att_30b0df2aed,txn_b48037ace6,1,2024-03-13 01:45:14.911439,5.5291,5.5291,False,success,auto_retry,1
att_55fe72ea66,txn_8dad08263e,1,2024-03-15 15:31:21.521000,5.8521,5.8521,False,success,auto_retry,1
att_af342323d0,txn_df1f980167,1,2024-03-09 14:13:14.293704,5.1709,5.1709,False,fail,auto_retry,0
att_33527d4067,txn_df1f980167,2,2024-03-10 08:59:52.417149,18.7773,23.9482,False,fail,email_prompt,0
att_cecaba0a1f,txn_df1f980167,3,2024-03-12 09:37:53.867781,48.6337,72.5819,False,fail,sms_prompt,0
att_313719e2fd,txn_df1f980167,4,2024-03-16 09:51:07.277855,96.2204,168.8023,False,fail,sms_prompt,0
att_bd0b3cb39a,txn_a2fbcd961f,1,2024-03-15 00:10:43.489888,5.3918,5.3918,False,fail,auto_retry,0
att_cf0c09681c,txn_a2fbcd961f,2,2024-03-15 19:22:07.503288,19.19,24.5818,False,fail,email_prompt,0
att_f23816eb32,txn_a2fbcd961f,3,2024-03-17 18:28:06.337152,47.0997,71.6815,False,fail,sms_prompt,0
att_469323384b,txn_a2fbcd961f,4,2024-03-21 19:05:41.932927,96.6266,168.308,False,fail,sms_prompt,0
att_2236d16653,txn_649578cf13,1,2024-03-04 05:02:19.924149,6.0741,6.0741,False,success,auto_retry,1
att_1f47e9399b,txn_ace0dff3b2,1,2024-03-07 10:26:49.492206,5.4312,5.4312,False,success,auto_retry,1
att_f6834798df,txn_272ba4be84,1,2024-03-02 00:25:43.000000,0.0,0.0,False,not_attempted,auto_retry,0
att_fa9d60063e,txn_dac3fe0864,1,2024-03-14 12:42:04.517916,5.0276,5.0276,False,fail,auto_retry,0
att_1df36a1daf,txn_dac3fe0864,2,2024-03-15 08:10:42.347965,19.4772,24.5048,False,fail,email_prompt,0
att_c5cc9dd16f,txn_dac3fe0864,3,2024-03-17 08:09:52.659411,47.9862,72.491,False,fail,sms_prompt,0
att_69cfedfaeb,txn_dac3fe0864,4,2024-03-21 08:03:19.211928,95.8907,168.3817,False,fail,sms_prompt,0
att_e50c281193,txn_1db8ade79d,1,2024-03-14 15:54:37.503719,6.7779,6.7779,False,success,auto_retry,1
att_a83a41a726,txn_ec314f9d90,1,2024-03-03 14:32:22.337664,6.3559,6.3559,False,success,auto_retry,1
att_82cc616ebf,txn_73b71cc7ae,1,2024-03-10 07:00:58.542230,6.741,6.741,False,fail,auto_retry,0
att_37d91b27f2,txn_73b71cc7ae,2,2024-03-11 01:03:13.496068,18.0375,24.7785,False,fail,email_prompt,0
att_a5ea5f7c4f,txn_73b71cc7ae,3,2024-03-13 01:11:51.338240,48.1438,72.9223,False,fail,sms_prompt,0
att_82cb22d334,txn_73b71cc7ae,4,2024-03-17 00:12:09.472695,95.005,167.9274,False,fail,sms_prompt,0
att_3fd87ec255,txn_1b409f2f88,1,2024-03-05 03:07:54.030778,6.3047,6.3047,False,fail,auto_retry,0
att_57896aa2db,txn_1b409f2f88,2,2024-03-05 20:16:51.731166,17.1494,23.4541,False,fail,email_prompt,0
att_093644341c,txn_1b409f2f88,3,2024-03-07 19:55:29.163445,47.6437,71.0978,False,fail,sms_prompt,0
att_f86b91c6d2,txn_1b409f2f88,4,2024-03-11 20:24:18.976758,96.4805,167.5783,False,fail,sms_prompt,0
att_fb7fdd6473,txn_552bd14b7c,1,2024-03-13 02:36:41.545193,6.4279,6.4279,False,success,auto_retry,1
att_b2a6bfa98e,txn_de66b3f6d4,1,2024-03-15 14:09:01.385964,5.1132,5.1132,False,fail,auto_retry,0
att_510f4cf5a4,txn_de66b3f6d4,2,2024-03-16 08:23:13.862546,18.2368,23.35,False,fail,email_prompt,0
att_3fbaaa9047,txn_de66b3f6d4,3,2024-03-18 08:09:02.629402,47.7635,71.1135,False,fail,sms_prompt,0
att_d027975311,txn_de66b3f6d4,4,2024-03-22 08:49:07.236188,96.6679,167.7815,False,fail,sms_prompt,0
att_834e7329dd,txn_a251093eee,1,2024-03-08 17:54:45.155265,5.1853,5.1853,False,fail,auto_retry,0
att_756dd8f4e1,txn_a251093eee,2,2024-03-09 13:25:16.336436,19.5087,24.694,False,success,email_prompt,1
att_6d65106097,txn_17309a2a33,1,2024-03-07 16:31:57.595577,5.1429,5.1429,False,fail,auto_retry,0
att_0d9cf2fa75,txn_17309a2a33,2,2024-03-08 11:25:17.101953,18.8888,24.0317,False,fail,email_prompt,0
att_4223d6ec6b,txn_17309a2a33,3,2024-03-10 11:34:14.190281,48.1492,72.1809,False,fail,sms_prompt,0
att_03f2a48ae6,txn_17309a2a33,4,2024-03-14 11:19:48.089177,95.7594,167.9403,False,fail,sms_prompt,0
att_4ab439e013,txn_123c3bab21,1,2024-03-14 05:31:38.260886,6.9495,6.9495,False,fail,auto_retry,0
att_40d1ccc948,txn_123c3bab21,2,2024-03-14 23:28:02.049904,17.9399,24.8895,False,fail,email_prompt,0
att_4e6660d0f1,txn_123c3bab21,3,2024-03-16 21:49:10.032122,46.3522,71.2417,False,fail,sms_prompt,0
att_1978d16f1c,txn_123c3bab21,4,2024-03-20 23:32:20.930671,97.7197,168.9614,False,fail,sms_prompt,0
att_f2d18488bf,txn_fa4b0c71e8,1,2024-03-15 14:17:45.929272,5.7405,5.7405,False,success,auto_retry,1
att_1471976df9,txn_58ae55dd15,1,2024-03-12 18:14:33.406353,5.4968,5.4968,False,fail,auto_retry,0
att_7809151082,txn_58ae55dd15,2,2024-03-13 13:40:28.667988,19.432,24.9288,False,fail,email_prompt,0
att_c38c65c168,txn_58ae55dd15,3,2024-03-15 12:40:00.417633,46.9922,71.9209,False,fail,sms_prompt,0
att_50f922c55e,txn_58ae55dd15,4,2024-03-19 13:15:26.037247,96.5904,168.5114,False,success,sms_prompt,1
att_4243c9b7b0,txn_b445db2d2e,1,2024-03-14 05:07:50.213383,5.8201,5.8201,False,fail,auto_retry,0
att_3703adbcec,txn_b445db2d2e,2,2024-03-14 23:36:42.443419,18.4812,24.3012,False,fail,email_prompt,0
att_8e585b2b6d,txn_b445db2d2e,3,2024-03-16 22:32:03.882552,46.9226,71.2239,False,fail,sms_prompt,0
att_589dcdfd6d,txn_b445db2d2e,4,2024-03-20 23:24:14.111325,96.8695,168.0934,False,fail,sms_prompt,0
att_b3a984333f,txn_0b15215d03,1,2024-03-01 19:27:11.453284,6.174,6.174,True,success,auto_retry,1
att_dd76c577fb,txn_04a9b0015e,1,2024-03-01 22:30:50.062515,6.5656,6.5656,True,success,auto_retry,1
att_02ad9d3c5c,txn_5d9451d5b6,1,2024-03-15 12:12:16.463814,5.5312,5.5312,False,fail,auto_retry,0
att_8586356a70,txn_5d9451d5b6,2,2024-03-16 06:15:42.076444,18.0571,23.5884,False,fail,email_prompt,0
att_c0ad582d28,txn_5d9451d5b6,3,2024-03-18 07:38:01.449549,49.372,72.9604,False,fail,sms_prompt,0
att_13ab6044bd,txn_5d9451d5b6,4,2024-03-22 06:36:48.165439,94.9796,167.94,False,fail,sms_prompt,0
att_5313438ede,txn_8b4c92f7f9,1,2024-03-09 09:25:18.773077,6.9816,6.9816,False,fail,auto_retry,0
att_2b9220e8e8,txn_8b4c92f7f9,2,2024-03-10 02:06:03.243402,16.679,23.6606,False,fail,email_prompt,0
att_885ed3b985,txn_8b4c92f7f9,3,2024-03-12 02:10:01.224498,48.0661,71.7267,False,fail,sms_prompt,0
att_aafcddfa10,txn_8b4c92f7f9,4,2024-03-16 02:49:41.754270,96.6613,168.388,False,fail,sms_prompt,0
att_552c9d52bf,txn_780d76429f,1,2024-03-10 07:56:29.453781,5.1362,5.1362,False,success,auto_retry,1
att_f3987965a1,txn_440d48ec10,1,2024-03-15 09:19:40.208121,6.4706,6.4706,False,fail,auto_retry,0
att_74aa848451,txn_440d48ec10,2,2024-03-16 02:37:52.806883,17.3035,23.7741,False,fail,email_prompt,0
att_e49c37a221,txn_440d48ec10,3,2024-03-18 03:03:46.413247,48.4316,72.2057,False,fail,sms_prompt,0
att_fa66205771,txn_440d48ec10,4,2024-03-22 03:18:09.979702,96.2399,168.4455,False,fail,sms_prompt,0
att_4afdb25b7e,txn_1e72afee8b,1,2024-03-06 09:19:27.578507,5.3038,5.3038,False,success,auto_retry,1
att_aafcd6befa,txn_939d661a5b,1,2024-03-03 21:15:09.456766,6.9582,6.9582,False,fail,auto_retry,0
att_1afd90dc6a,txn_939d661a5b,2,2024-03-04 14:44:32.874435,17.4898,24.448,False,fail,email_prompt,0
att_982cf0eca6,txn_939d661a5b,3,2024-03-06 13:41:54.396115,46.956,71.404,False,fail,sms_prompt,0
att_1f174a331c,txn_939d661a5b,4,2024-03-10 15:13:57.222264,97.5341,168.9381,False,fail,sms_prompt,0
att_34ed7cb3fc,txn_ebcbec1b98,1,2024-03-07 03:45:36.441975,5.1521,5.1521,False,success,auto_retry,1
att_f40cc9cf4d,txn_036f3197dc,1,2024-03-02 21:47:00.037163,6.0111,6.0111,False,fail,auto_retry,0
att_e06f6c571b,txn_036f3197dc,2,2024-03-03 15:41:41.015243,17.9114,23.9225,False,fail,email_prompt,0
att_28888f569a,txn_036f3197dc,3,2024-03-05 15:41:15.063202,47.9928,71.9153,False,fail,sms_prompt,0
att_5cb165ab05,txn_036f3197dc,4,2024-03-09 16:03:19.125529,96.3678,168.2831,False,fail,sms_prompt,0
att_99ca4faeba,txn_f2dfb703cd,1,2024-03-06 19:38:53.152991,5.83,5.83,False,fail,auto_retry,0
att_648ed13df1,txn_f2dfb703cd,2,2024-03-07 13:39:50.472443,18.0159,23.846,False,fail,email_prompt,0
