customer_id,segment,historical_failure_rate
cust_ec1c27fa06,new,0.3936
cust_cc90f86455,returning,0.5003
cust_4c47f4f414,returning,0.4426
cust_f5bfae49a8,returning,0.2189
cust_0f845c69cd,returning,0.0337
cust_6bba92fa49,returning,0.2518
cust_29ca5f7712,returning,0.0019
cust_f0af68e2d4,returning,0.0374
cust_97d95a6bea,new,0.2934
cust_fb971a75d8,new,0.2307
cust_a7911ce6b8,returning,0.1214
cust_07c65338f6,new,0.0132
cust_976e03b3c2,returning,0.1117
cust_e685e05896,high_value,0.0466
cust_bb2b76234d,new,0.12
cust_d101da83a0,new,0.0579
cust_e46fefae85,new,0.3449
cust_9fc3625ac6,new,0.1147
cust_c3f928ab01,returning,0.0831
cust_8d12043d0a,returning,0.0923
cust_5a8381e7d7,returning,0.1777
cust_c291ec6d06,returning,0.2879
cust_aff4fc8467,returning,0.0835
cust_6f29d8f859,high_value,0.0028
cust_1ce8b1dccc,new,0.023
cust_7f7c499178,new,0.0313
cust_49d35faa68,new,0.2225
cust_29b37ee190,returning,0.2646
cust_610cd0ce73,returning,0.0381
cust_5fbda5ef8a,new,0.5179
cust_f9be23bf5d,returning,0.3128
cust_1e21fdf824,new,0.2493
cust_fd96f66e31,returning,0.3388
cust_7b92ced64c,returning,0.3242
cust_23b2ced574,new,0.0321
cust_9a9221b4e6,new,0.0333
cust_13a8fa0f56,returning,0.0396
cust_6f182c5551,new,0.3593
cust_0ca182a1b6,new,0.1362
cust_38463dd23b,new,0.0629
cust_a0aa60e816,high_value,0.0774
cust_d56f7ada09,high_value,0.0157
cust_34c1fdef31,returning,0.1497
cust_0c5b15aca8,new,0.1354
cust_92b84e163f,high_value,0.0264
cust_9602cf053a,returning,0.1395
cust_a7102f8089,returning,0.4248
cust_d2d058cf17,returning,0.1794
cust_10588e4627,new,0.2267
cust_a49f096fa6,new,0.358
cust_ceb15a0109,high_value,0.0593
cust_4b1d6da473,returning,0.0597
cust_dfcd0376ac,new,0.3276
cust_b37c10af15,new,0.4301
cust_e8a0f53da2,returning,0.03
cust_5311fad5ef,new,0.1021
cust_7e106cee29,high_value,0.0314
cust_067bcf80f0,returning,0.1584
cust_04cc7ee53a,returning,0.1766
cust_e0172cbef4,returning,0.2656
cust_b367134a54,returning,0.1671
cust_1228f453fa,returning,0.1931
cust_4467425139,returning,0.1402
cust_46253caba4,new,0.2342
cust_e60bf8fdcb,returning,0.0435
cust_8bd7450480,new,0.0569
cust_839673facd,returning,0.4633
cust_af1ab4d2d9,new,0.1479
cust_75e806b532,new,0.2149
cust_ef302cfef7,new,0.3279
cust_5c03ad418b,returning,0.0416
cust_d482901e28,new,0.1023
cust_82a7891a3f,high_value,0.0055
cust_d12116888f,returning,0.1887
cust_6aeaa52a0b,new,0.348
cust_2f94137b36,returning,0.2168
cust_80e1559027,new,0.052
cust_e7f40f91ff,high_value,0.0399
cust_2b46763a31,returning,0.0876
cust_df9b93993e,returning,0.2544
cust_a124550212,new,0.3622
cust_044d3c3c92,returning,0.3855
cust_4613eec4ed,returning,0.3842
cust_7f262afd7d,high_value,0.0529
cust_03e0b8bc5d,returning,0.081
cust_3f27f23764,returning,0.0945
cust_8d912fc5c8,new,0.3011
cust_246897ffd4,new,0.053
cust_b1b15f13f1,returning,0.2399
cust_e727cc624b,returning,0.1412
cust_46198e4f35,new,0.2768
cust_fc2526c8f7,high_value,0.0574
cust_8002902885,high_value,0.0125
cust_312d2a25bd,new,0.1556
cust_baeea2cf3c,returning,0.0495
cust_aefcf53733,new,0.3171
cust_d41e7c295a,returning,0.1102
cust_97c047c2df,new,0.0448
cust_94f7ade4a3,returning,0.179
cust_9c328517ce,returning,0.1229
cust_cd595b36e7,returning,0.2794
cust_1c1535c911,new,0.0686
cust_eef0abafed,high_value,0.0457
cust_9201acab85,new,0.382
cust_e7e91e7465,new,0.3628
cust_26bf705543,returning,0.2033
cust_c56faf17f2,new,0.215
cust_3a85f3aac1,high_value,0.114
cust_3c94a86a6a,high_value,0.3403
cust_1aad49e94d,new,0.2022
cust_8af4826399,high_value,0.053
cust_603ee4eadc,new,0.3838
cust_947b18f766,returning,0.0939
cust_ec13538a6f,new,0.3146
cust_02f695fb79,high_value,0.0391
cust_398c7234b4,new,0.0501
cust_c5c1258002,new,0.1856
cust_e29765fdce,returning,0.2081
cust_5ea473c0bf,high_value,0.1548
cust_e22e2fb41e,high_value,0.0794
cust_29669b8550,returning,0.0846
cust_1e55eb940e,high_value,0.0065
cust_12f345a3b8,high_value,0.3554
cust_fd5e73d04c,returning,0.1575
cust_7566735ea6,new,0.3613
cust_2580246e0a,returning,0.028
cust_609f77bd1a,returning,0.0878
cust_6ec410a8ac,new,0.1919
cust_e30b02867a,new,0.19
cust_867335b3dd,returning,0.0928
cust_1af6544781,new,0.2335
cust_5318cc1f36,high_value,0.1712
cust_271a947c64,new,0.0955
cust_8c3409e310,new,0.0965
cust_5d17fb3fb8,high_value,0.3081
cust_f6632cce44,new,0.1917
cust_b0a5e8bed8,new,0.0295
cust_d8ca3c4c9c,returning,0.1685
cust_4384d7c9f5,high_value,0.1714
cust_f04c1dfe86,new,0.1818
cust_3cb3e9f855,new,0.0743
cust_d8d64b73e4,returning,0.0799
cust_d874bb29e6,high_value,0.102
cust_098197b1c4,returning,0.1288
cust_9e676f60cf,new,0.1374
cust_e80cf72167,new,0.142
cust_89e9f1b994,new,0.2356
cust_f0ede79dd8,new,0.0809
cust_0fdf4b8de4,returning,0.1127
cust_3db5419d1e,new,0.1415
cust_dbcd2cc258,returning,0.3276
cust_299aea3756,returning,0.1015
cust_1d0e883f8a,returning,0.195
cust_51e104cbd5,new,0.4824
cust_4e6aa8f9a3,high_value,0.1228
cust_e70407c108,returning,0.2927
cust_c7736ddd56,returning,0.1201
cust_ce2b76b982,new,0.1908
cust_a9f58e31af,new,0.1648
cust_c9c73c9345,high_value,0.0591
cust_19467435db,new,0.0251
cust_ab6af8fcc6,new,0.0974
cust_ccc01d96e3,returning,0.0832
cust_59a9c49a60,returning,0.1719
cust_ca9cda794b,high_value,0.332
cust_bbb224702d,new,0.3628
cust_2e4663676c,high_value,0.0617
cust_f920981b84,new,0.1995
cust_4231cbff6b,returning,0.2182
cust_335254c045,returning,0.0328
cust_833f2824f1,new,0.17
cust_17527de511,new,0.0779
cust_f197931183,returning,0.0409
cust_f08bf06ab2,high_value,0.044
cust_dd6a2b4e3a,returning,0.125
cust_1636812b1a,high_value,0.0301
cust_b11ac9f39e,high_value,0.0723
cust_3a65c3a679,returning,0.1482
cust_8872cdb129,returning,0.2484
cust_5928173912,new,0.0353
cust_fdb1f3067c,new,0.0316
cust_00e15f4a76,high_value,0.4076
cust_4c0cbb0b98,returning,0.0669
cust_eae3e35589,new,0.0539
cust_14a3fee109,returning,0.1745
cust_eface3a8b1,returning,0.1298
cust_488617e988,high_value,0.1349
cust_932cccd89e,returning,0.3289
cust_e5e6848b4b,returning,0.1458
cust_e51acc48ee,new,0.0276
cust_e4b440d4c6,returning,0.0587
cust_505f9433d0,returning,0.0214
cust_0a7e29899f,high_value,0.0226
cust_ac9a5c8cef,returning,0.0516
cust_6f600342f4,new,0.3682
cust_e6515caff1,new,0.0449
cust_0d9ff82a3f,returning,0.3711
cust_71c2958090,high_value,0.1649
cust_4ae98356cf,new,0.3124
cust_c5e84ec3c8,new,0.2138
cust_fb1dcea7e1,returning,0.0607
cust_ac19ceff73,new,0.1427
cust_840a839632,high_value,0.0186
cust_28dad94653,new,0.2574
cust_a8d84a44b4,new,0.2769
cust_995177b128,high_value,0.0519
cust_d3128defaa,new,0.2554
cust_c7e5d2df47,new,0.2108
cust_3cd2114fa0,new,0.1727
cust_2f39b91868,new,0.1418
cust_96e551c00f,new,0.3426
cust_6f677a0865,new,0.1191
cust_2953fd5d4f,new,0.0502
cust_996a2e4eb9,new,0.2393
cust_b890f6eee6,returning,0.2366
cust_7ff641fca7,returning,0.2038
cust_69081fc84d,new,0.0091
cust_64256c014a,new,0.1433
cust_cb18c1661c,returning,0.1669
cust_c7f17803e6,high_value,0.0127
cust_5ebd717e21,high_value,0.0572
cust_5aba48d47b,new,0.0697
cust_704ebe1690,new,0.1116
cust_f55846fc6e,new,0.5281
cust_775efc16d2,new,0.1534
cust_1856bb1307,returning,0.0229
cust_4b83d351a2,returning,0.075
cust_51c7eb3cb0,new,0.2661
cust_d81e739e9e,new,0.0244
cust_971245b04b,returning,0.2663
cust_14a613c8a4,new,0.3149
cust_6db426c83e,high_value,0.3223
cust_04e50d0abd,new,0.1973
cust_3bc30d3ef8,high_value,0.1331
cust_1d1dd3c9d2,new,0.2672
cust_ddac02d708,high_value,0.0518
cust_9af033d022,high_value,0.0776
cust_b5fbccca6b,high_value,0.0392
cust_50bfc48bdb,high_value,0.004
cust_33ea4c11f9,returning,0.1849
cust_392b2c7d6b,returning,0.1319
cust_826d36d52a,returning,0.061
cust_09c983f9ed,new,0.4202
cust_d6530d3860,returning,0.1606
cust_e8118e67af,returning,0.0562
cust_c56dfc09e0,high_value,0.1464
cust_bfe2e3dae9,returning,0.0874
cust_f5e2c0c984,new,0.0802
cust_cc31baa930,returning,0.1171
cust_d358871ae2,new,0.0623
cust_ba2e6156f6,new,0.1248
cust_fdbb86d28d,returning,0.1666
cust_08955f6b7a,returning,0.4465
cust_831fa237d7,new,0.164
cust_e26dfac9a2,new,0.0644
cust_d7f88c1c85,new,0.2653
cust_37cae23152,new,0.2761
cust_3c5ea7168e,new,0.2078
cust_40bb04658c,returning,0.258
cust_f11b362a9c,new,0.3232
cust_259bbb3ed2,high_value,0.0725
cust_d98589cf8a,high_value,0.2533
cust_da9959aad9,returning,0.2208
cust_35afcf1851,new,0.2604
cust_28a7fe6a58,returning,0.1581
cust_cce2e13141,high_value,0.0148
cust_2d34242e61,returning,0.07
cust_6076256083,high_value,0.0581
cust_073c81c7d9,returning,0.1329
cust_70f76fdaa4,returning,0.228
cust_ac52cd6e77,new,0.4762
cust_7bba6f6c06,returning,0.1353
cust_e582b68840,new,0.0725
cust_12b918dc04,returning,0.0963
cust_f7e983d56d,high_value,0.2684
cust_6a3b6dd610,new,0.1985
cust_2040ecf25a,returning,0.1237
cust_0a88dfeea0,new,0.0118
cust_afb9a0bfe8,returning,0.1568
cust_e5274da2ce,new,0.1916
cust_8a2e6f2a05,high_value,0.2412
cust_5a0d857766,new,0.6185
cust_c0990f3930,high_value,0.0297
cust_eb4ff5b760,high_value,0.1109
cust_fa385feb0b,returning,0.5859
cust_956e89ddc4,returning,0.3059
cust_08d7ba92a5,returning,0.3008
cust_93a74129ce,high_value,0.0026
cust_7aa37f568c,new,0.1323
cust_1e1e92754a,returning,0.2384
cust_2a18618850,new,0.3117
cust_b35bcfadc7,returning,0.0533
cust_42450d3899,new,0.1675
cust_cf53d45b86,returning,0.0071
cust_9aa4c5ac59,returning,0.2002
cust_6fde3282eb,returning,0.1873
cust_0927c692cc,returning,0.4043
cust_834b9ce52c,returning,0.5245
cust_12f623a299,returning,0.2409
cust_e94856e331,returning,0.2755
cust_52a8884361,returning,0.1891
cust_223a6a5a4d,high_value,0.3336
cust_0a16b1db39,new,0.4699
cust_0d39c90db5,new,0.1588
cust_b1bdffeb85,new,0.1077
cust_76d4fba047,returning,0.0667
cust_3a7b7ab325,returning,0.003
cust_518b519ad5,returning,0.0965
cust_6a1a1bb91d,returning,0.1021
cust_8c10a08c9b,new,0.2627
cust_9b0fd22a6f,high_value,0.0185
cust_30720e8d25,returning,0.0642
cust_f0ee342eb6,new,0.1294
cust_54c2dde01a,new,0.2718
cust_9859ad8a52,new,0.4255
cust_99cb8a6a54,new,0.1635
cust_20752c8647,new,0.3803
cust_077251b505,high_value,0.2685
cust_d58f13c458,returning,0.1199
cust_1438a24939,new,0.3682
cust_5fcf3b998e,returning,0.2903
cust_9e9982a198,returning,0.1944
cust_ec6308fdd2,high_value,0.1341
cust_ef239b6ce3,returning,0.249
cust_37999bbd6b,returning,0.0379
cust_95d7c94871,new,0.1093
cust_78c8b19f06,high_value,0.0563
cust_e2afe59876,returning,0.0573
cust_7baf31816c,high_value,0.1279
cust_fab7ef3926,new,0.066
cust_8babb48241,high_value,0.064
cust_f978f7050b,returning,0.297
cust_7f7defd2f4,new,0.1105
cust_69ac884a82,returning,0.1273
cust_33ddd488bb,returning,0.1397
cust_e52eeedd70,new,0.1806
cust_f46014b6a5,returning,0.2342
cust_56c84d941a,high_value,0.037
cust_b8050787dc,new,0.3236
cust_99b0ab100e,returning,0.0671
cust_c790ea5bc5,returning,0.1854
cust_74447c355f,new,0.3011
cust_2ccc9b0c1b,high_value,0.0043
cust_49a8d06e17,returning,0.2694
cust_ebb75e3130,new,0.528
cust_8d3a9dc941,high_value,0.0503
cust_3bbaf03ba1,high_value,0.009
cust_3f46424042,new,0.1644
cust_4453efebb7,high_value,0.0508
cust_f2e9680aac,new,0.2087
cust_70544834c2,high_value,0.0469
cust_dac33d334b,returning,0.2059
cust_064526623b,returning,0.1406
cust_cfa86c33b8,new,0.0672
cust_d67faeb8e9,high_value,0.4419
cust_7d2abe0fba,new,0.1067
cust_4121053ea5,new,0.3621
cust_fd9257287d,new,0.4793
cust_7a68d79715,returning,0.159
cust_d9da3d5bae,new,0.2437
cust_368d3b7e8b,high_value,0.0403
cust_2b7d8be0c7,returning,0.3747
cust_c501d8891a,new,0.1473
cust_d09b620e7e,new,0.1719
cust_fce65d5270,new,0.0818
cust_e30cf25004,returning,0.0127
cust_25de995a00,high_value,0.0719
cust_cbe4135972,new,0.3392
cust_52f961f395,high_value,0.1509
cust_560afec802,new,0.4322
cust_2b6b4cd71c,high_value,0.0752
cust_916c2dfaf7,high_value,0.0436
cust_96f561ca96,returning,0.0802
cust_c6de4e197a,returning,0.3748
cust_ce12251237,high_value,0.0564
cust_0a63b124cb,new,0.2351
cust_5bd63c21d6,new,0.1269
cust_a16791a96d,new,0.1858
cust_ed965a0600,returning,0.1682
cust_ac80a5c5d7,returning,0.1371
cust_7d8a68d21b,returning,0.6351
cust_cb42952c10,high_value,0.0172
cust_46c6dd4b0f,new,0.2211
cust_c27f4ab716,returning,0.0535
cust_8878d68ee6,new,0.1513
cust_39db5f3558,new,0.1441
cust_89db96c753,returning,0.0946
cust_8139c445fe,high_value,0.1239
cust_4a67013dcb,returning,0.1965
cust_6fd815f8c2,new,0.1029
cust_b6ccc18199,returning,0.2092
cust_5f16544e2b,new,0.0894
cust_133535cc20,high_value,0.0719
cust_a7bf0e9454,returning,0.1378
cust_81bde1a3e7,new,0.2659
cust_0f4053b23c,new,0.2078
cust_9a359bb0b1,new,0.1768
cust_42476447bb,high_value,0.0441
cust_84370e49e0,returning,0.2115
cust_e6ae61fccd,returning,0.2806
cust_f0f8fb3d4a,returning,0.1011
cust_71fbc80dbc,returning,0.0544
cust_1d53882511,new,0.147
cust_7ea519a5d3,high_value,0.0311
cust_1457e6efc8,new,0.1239
cust_fc69c02644,returning,0.195
cust_55dd1155a0,returning,0.1631
cust_afd1f89b7f,returning,0.0901
cust_74660b9cab,high_value,0.1999
cust_770d4f30b5,new,0.3245
cust_0337cfb953,returning,0.098
cust_a62c691459,returning,0.0095
cust_f2944c7492,returning,0.2671
cust_3674315a87,new,0.1119
cust_636d4c11c7,new,0.1564
cust_bfe530159d,new,0.2147
cust_f6a1f9efdd,new,0.2139
cust_fa51b2cbb9,returning,0.3879
cust_6a991255c7,returning,0.3119
cust_0068a9b979,returning,0.1313
cust_0c65f33816,returning,0.3274
cust_7720b002c5,returning,0.2695
cust_2338b9d562,new,0.0625
cust_f237f63575,returning,0.0977
cust_68f834cac4,new,0.22
cust_a19f490429,new,0.2879
cust_7769a364e0,returning,0.068
cust_b79b41a7fb,returning,0.3763
cust_21dbf0e069,new,0.0848
cust_9f102d059f,returning,0.154
cust_6c5398a911,returning,0.2206
cust_1c24ec4f8a,returning,0.0564
cust_05a2eb14a0,returning,0.1723
cust_064f80bb8c,returning,0.101
cust_3ad494e676,new,0.2516
cust_d1f3878581,returning,0.0921
cust_1c68bf5618,returning,0.0206
cust_8fe2648fdd,returning,0.2424
cust_048126f050,returning,0.0272
cust_a1d85f156e,new,0.1078
cust_1ec701ae9e,returning,0.1768
cust_327e8eabff,returning,0.1591
cust_e242d3321d,high_value,0.1713
cust_25d91349a5,high_value,0.0011
cust_1546e390ef,returning,0.0351
cust_896dfa0c7a,returning,0.3412
cust_b8fec98113,returning,0.0801
cust_9d58d87865,new,0.1544
cust_fd2e097c05,high_value,0.1459
cust_0e77c21f77,returning,0.1101
cust_804696f6a8,new,0.1025
cust_b83f4b7cab,new,0.0782
cust_cab6d0d54f,high_value,0.0279
cust_2684c3fe7d,new,0.1114
cust_4945298f92,new,0.5982
cust_c1c98d36ef,new,0.4246
cust_cf58dcc951,new,0.3612
cust_5ba67e50b4,new,0.1818
cust_a807aa68f0,returning,0.2281
cust_2b613635cd,new,0.2883
cust_41161ed66b,high_value,0.0903
cust_c01bf4e002,high_value,0.3485
cust_4c1eac0ccc,new,0.2126
cust_58ff0700e8,new,0.2225
cust_8678f4cc81,returning,0.2602
cust_296d843199,new,0.2428
cust_a483efc4a9,new,0.1184
cust_79686500c8,high_value,0.0861
cust_73e016317c,high_value,0.0213
cust_1b52dc83e9,returning,0.2405
cust_ce95e3a6f8,new,0.2258
cust_c4fd780d1d,returning,0.0312
cust_1a217ab5ef,returning,0.0796
cust_d50e07d6e7,new,0.0529
cust_85041cc797,returning,0.216
cust_99289f7111,new,0.1352
cust_ad9f856b53,new,0.0863
cust_6f21fd00cc,returning,0.3889
cust_d924ea0634,new,0.2729
cust_223a2982ae,new,0.1792
cust_59ca3d8ab6,high_value,0.0597
cust_bd65c4e738,high_value,0.2383
cust_dba1c395de,returning,0.1293
cust_24162972b6,high_value,0.0498
cust_485a67359b,high_value,0.0063
cust_25ee63ebb6,new,0.443
cust_a6329270db,returning,0.1807
cust_2aa386c786,new,0.1416
cust_005638b840,new,0.1921
cust_89bccb5af0,returning,0.1159
cust_c2c2e067f5,returning,0.054
cust_dfb839035d,returning,0.2858
cust_1fdcd88134,new,0.0253
cust_83e163d826,new,0.0876
cust_e4863fcd03,high_value,0.02
cust_58b41a9d9a,new,0.1387
cust_b5399deb2f,new,0.1866
cust_8beadbcbca,new,0.4378
cust_4ec834cdd4,returning,0.2299
cust_b9b95a7cfe,returning,0.3221
cust_fc32e5fcda,returning,0.0992
cust_bf2c7e310e,new,0.2572
cust_a681e8e1fb,new,0.0861
cust_d8ad4d83eb,high_value,0.0914
cust_27e51a34aa,returning,0.1747
cust_94890007ec,returning,0.2131
cust_16eab4f855,returning,0.1103
cust_80b0a82a23,returning,0.1586
cust_57ed0ba85a,new,0.5294
cust_29546c3c32,new,0.2298
cust_abdc1ac395,returning,0.2106
cust_11e4f36196,new,0.208
cust_79f24a553d,high_value,0.1354
cust_c3b5ed25e8,returning,0.1067
cust_3888f18978,returning,0.0985
cust_6d45897997,high_value,0.239
cust_3173cd2831,returning,0.211
cust_0057f8a858,high_value,0.0706
cust_a5f0655b65,returning,0.2744
cust_08c2d019be,high_value,0.1153
cust_08c8ae3989,new,0.0718
cust_4e2373543a,returning,0.0389
cust_5038017d73,returning,0.0265
cust_653a16e3ba,new,0.1772
cust_526c75f9ea,new,0.2474
cust_252fb524ef,high_value,0.127
cust_1b4a536b10,returning,0.2543
cust_5a3d28ea4a,new,0.2024
cust_aad0434629,new,0.0297
cust_245663538c,new,0.5211
cust_942772ab05,new,0.2719
cust_32feac6637,high_value,0.0174
cust_400b29a45b,returning,0.2623
cust_246cf9b521,new,0.1999
cust_3ceba8e32c,returning,0.0534
cust_4d3fdca34c,new,0.1897
cust_d6dea2a4cd,new,0.0533
cust_7457adeaa5,returning,0.095
cust_5e0f676627,returning,0.1068
cust_5b658ffe88,high_value,0.0452
cust_8a88577df5,returning,0.1964
cust_a3144feb9e,returning,0.0721
cust_5fcb017311,returning,0.2202
cust_2c1ba93738,high_value,0.208
cust_a3998353a8,returning,0.0729
cust_72f047d5a3,high_value,0.0564
cust_f10f44d9d8,returning,0.0335
cust_a6781a34e3,high_value,0.2176
cust_bbc0afb250,new,0.2073
cust_fb2184f55a,returning,0.1198
cust_e1b8a4e49f,returning,0.2186
cust_5efede095c,returning,0.2445
cust_d8854df7ea,returning,0.2001
cust_e3395c456e,high_value,0.2528
cust_337f7129d0,high_value,0.2269
cust_638698d70b,new,0.1143
cust_5341add028,returning,0.1606
cust_6282ee4485,returning,0.1069
cust_33dccff21a,new,0.1484
cust_82839d7410,new,0.3739
cust_c2e5b10a6d,new,0.2217
cust_a24339bc70,returning,0.1025
cust_b6c9a0a708,returning,0.0461
cust_d34bdc2b02,high_value,0.2501
cust_b890f4cd0f,returning,0.1063
cust_fe14d75211,high_value,0.0044
cust_5bc1bd9c28,returning,0.0837
cust_99b22e2140,returning,0.0996
cust_66de3568ff,new,0.0561
cust_cedbeb64bf,returning,0.0829
cust_c072af19ea,high_value,0.1205
cust_dd53b36e82,high_value,0.1905
cust_6097213761,high_value,0.0113
cust_c475b9b83b,new,0.0664
cust_781b4413d3,new,0.0817
cust_3a7e08085e,new,0.1731
cust_77a7833ae7,new,0.2763
cust_a7b78c4e5b,returning,0.0176
cust_d96871f559,returning,0.082
cust_2a226bbb32,returning,0.0518
cust_b65ae7dfe6,high_value,0.1279
cust_7620bb757d,returning,0.1047
cust_f6d4af31bd,high_value,0.1164
cust_fd4c0ff868,new,0.158
cust_a6e5b76727,new,0.1352
cust_a1c0839636,returning,0.1526
cust_8fb2446202,high_value,0.1301
cust_c67a5d4e3b,new,0.4177
cust_9bfc7a7dad,returning,0.1063
cust_60536985d3,returning,0.254
cust_6f36a85733,new,0.2185
cust_c46d69ef7e,returning,0.081
cust_91519d9fbc,high_value,0.1704
cust_8d8ceacf17,returning,0.0262
cust_2dbe5a771e,new,0.2506
cust_238fb88b27,high_value,0.0648
cust_c04cc79786,new,0.2075
cust_5d8589d891,high_value,0.1725
cust_5ed1f1f251,new,0.0934
cust_295034c5a8,returning,0.1947
cust_8e79ab16a1,new,0.2721
cust_10f26a8a75,new,0.0969
cust_2e12a5e96a,high_value,0.0967
cust_6a7199cf9c,new,0.1764
cust_00f80789cd,new,0.0403
cust_d070da4706,new,0.3105
cust_5f0e710ee0,returning,0.0192
cust_8ebf3a8a9e,high_value,0.0725
cust_156ceb881a,high_value,0.0934
cust_026d15c76a,new,0.2553
cust_32ad247268,returning,0.0119
cust_ea33a2faa1,new,0.0607
cust_f284c22bdf,returning,0.1011
cust_0d0e53d3b7,high_value,0.064
cust_3b0e88c020,returning,0.2249
cust_aa71e5c132,returning,0.1266
cust_a0f05a9fcf,new,0.4508
cust_b2530383d9,high_value,0.1888
cust_d9d4338065,returning,0.0175
cust_76712b6c57,new,0.287
cust_5331bf0581,new,0.2014
cust_6d4a056373,new,0.5043
cust_9a6e893e15,new,0.2313
cust_bf58fa2512,new,0.3091
cust_9e752179ba,returning,0.2335
cust_320604fb0e,returning,0.4044
cust_c5bc19071c,new,0.4175
cust_6ab49227c9,returning,0.0527
cust_f867914245,high_value,0.0675
cust_31e1ce7f80,returning,0.1699
cust_9ce629c8dd,returning,0.366
cust_2881ab6ca8,new,0.3081
cust_4dcdad61cd,high_value,0.1783
cust_22d502fceb,new,0.1177
cust_9662ce2e47,new,0.1517
cust_cd40ac727d,high_value,0.009
cust_41209dd100,returning,0.2217
cust_138677055e,returning,0.1236
cust_0c9badd052,returning,0.2367
cust_c632a2b4ea,returning,0.0762
cust_7c234829f9,new,0.1392
cust_b993dd01a6,new,0.0459
cust_84821ec280,new,0.0979
cust_f81f4a85f0,new,0.2506
cust_4b4d26a3fb,high_value,0.0159
cust_32793a43b9,new,0.1312
cust_8f4760b8c3,returning,0.117
cust_6678eae6f7,returning,0.2747
cust_5efc7db0af,returning,0.0401
cust_3a3bafc95e,returning,0.3461
cust_26d48d7e29,returning,0.3388
cust_5f1485efa5,high_value,0.1692
cust_5c68a0ef84,returning,0.2053
cust_ed8e239074,high_value,0.3169
cust_9122f26456,high_value,0.1773
cust_7209af5872,returning,0.0064
cust_0baea7d55b,new,0.1528
cust_f1dd7ac087,returning,0.1612
cust_768008ad9e,new,0.2533
cust_9163f72abc,returning,0.1013
cust_a84849ae75,high_value,0.0392
cust_9a5f12bd0c,returning,0.049
cust_f762f92535,returning,0.133
cust_a539505b93,new,0.205
cust_f097620412,high_value,0.1194
cust_f7e074cbd6,new,0.0456
cust_c2f64d623a,new,0.2159
cust_72b415a5ec,new,0.1881
cust_a65fa84c79,new,0.0156
cust_123eea6088,returning,0.0224
cust_2713e10c7a,returning,0.11
cust_5863e03a8b,new,0.1632
cust_6701e63fbb,new,0.2557
cust_286162e0e6,new,0.2182
cust_bad8700600,new,0.2312
cust_3b5f80c233,new,0.1155
cust_82709837aa,returning,0.3394
cust_cd3b0da2ef,new,0.1526
cust_45a34b8f55,new,0.0959
cust_3ea5cf185e,new,0.4468
cust_9496ed8288,returning,0.1592
cust_41073dcc5a,new,0.3379
cust_d8b95d6127,new,0.2173
cust_845816ba33,high_value,0.1202
cust_1f784b2fff,new,0.0984
cust_fa2ee49590,returning,0.1903
cust_fc26ba465d,returning,0.279
cust_3483eb8dd7,new,0.3019
cust_fdaab0f3e6,returning,0.1393
cust_e29cbc0d01,returning,0.2202
cust_6b5fef9fb3,high_value,0.0341
cust_f8cc1aa2c1,new,0.0915
cust_e3342c8850,new,0.1718
cust_59e43e2f4d,new,0.0999
cust_f2bfdf2b1c,returning,0.5655
cust_cf15590c4b,returning,0.0735
